,D1,D2,D3,D4,D5,D6
D1,0,12,34,94,68,28
D2,8,0,36,17,46,32
D3,1,4,0,32,23,34
D4,0,0,11,0,36,19
D5,1,1,9,8,0,51
D6,18,23,1,5,7,0
