,srg,a855,a853,pd,bc27,bc19,a839,a870,yc18,yc12,yc06,yc17
srg,0,6,0,2,1,7,1,2,4,1,0,0
a855,1,0,1,6,0,1,7,0,2,1,3,0
a853,1,0,0,0,0,0,4,2,0,2,1,1
pd,0,0,0,0,3,4,3,3,4,0,0,1
bc27,0,0,0,0,0,2,0,3,2,0,0,0
bc19,0,0,0,1,0,0,2,0,1,0,1,0
a839,3,0,1,0,0,0,0,2,0,0,0,0
a870,0,1,2,0,0,0,1,0,0,0,4,0
yc18,1,0,0,0,1,1,0,0,0,5,0,1
yc12,0,0,1,0,0,1,0,0,2,8,1,0
yc06,0,0,0,0,0,0,0,0,0,0,0,0
yc17,0,0,0,0,0,0,0,0,0,0,0,0
