,x01,x03,x05,x08,x07,x04,x09,x10,x12,x11,x02,x06
x01,0,16,6,15,8,5,1,10,6,13,4,2
x03,0,0,12,3,9,3,3,3,3,6,1,4
x05,0,0,0,11,1,4,3,5,7,2,4,2
x08,0,0,1,0,1,15,10,13,14,13,3,2
x07,0,0,1,7,0,6,5,7,2,7,15,17
x04,0,0,0,0,2,0,4,0,4,0,3,3
x09,0,0,0,0,1,4,0,5,7,2,4,2
x10,0,0,0,0,5,0,3,0,0,0,2,0
x12,0,0,0,0,4,1,2,0,0,0,0,2
x11,0,0,0,0,0,3,1,1,0,0,0,1
x02,0,0,0,0,0,0,0,0,0,0,0,4
x06,0,0,0,0,0,0,0,0,0,0,0,0
