180167,0,11025,42649,27937,4568,6558,1697,1108,1697,548,361
61519,0,297,1541,131,93,48,1,1,5,0,1
184526,0,272,466,0,48,0,0,0,0,0,0
19713,0,472882,1230542,344105,481743,464964,11697,44980,234766,38235,77707
61513,0,155198,248383,138888,85114,98250,5378,21721,60862,9308,14235
22461,0,92,800,47,10,24,0,0,0,1,0
180169,0,790313,2028342,2766771,1025051,1381872,391635,376124,1109297,479108,561497
63763,0,35866,59431,46112,10587,46080,10786,5187,14664,14624,16885
177795,0,1842,2979,456,1298,164,2,3,229,0,10
13733,0,10022,50931,420,41880,1033,0,28,494,4,3
165284,0,514656,2054662,1043032,697571,630620,106232,158910,347250,94857,104998
111537,0,664604,1251735,2223133,610785,2697378,407072,210824,1160257,768746,2356275
111534,0,124535,161262,17847,36977,48680,367,2790,23983,1943,6645
28998,0,12174,45298,4529,8155,3062,74,313,626,66,45
166555,0,418407,436187,778794,760811,657016,68700,63566,1169757,174316,712829
4029,0,45159,143424,39401,52305,25455,849,3186,13042,1637,2337
177227,0,370626,418341,773533,623021,667495,142949,76566,1032248,252819,810064
177225,0,126671,165481,699673,57391,279677,208336,32594,94658,124026,136754
177224,0,10,78,12,0,3,0,0,0,0,0
60914,0,82717,297163,55392,38233,69926,3278,6388,22876,6070,9578
19398,0,6599,20163,5110,3113,6929,713,753,2961,1694,2732
161071,0,506116,506861,453860,868986,535603,30190,95809,1070114,89988,432467
5987,0,852,1782,232,248,0,0,3,0,0,0
132644,0,94283,172417,99103,32963,56697,5393,7742,20481,5836,6864
177228,0,28054,85279,467625,18453,534419,947686,19405,195373,868309,2722981
61179,0,773,3735,271,161,249,13,24,40,25,7
24710,0,93861,155327,342865,47276,846505,215175,27226,340863,402390,2525536
19159,0,593897,1166452,2558153,634909,2515363,596150,254753,1092205,996437,2377329
160891,0,978953,1974471,214627,1206178,987727,10057,46681,699764,41529,359384
160892,0,1155,39810,315,9013,385,1,33,13,5,1
160893,0,123,891,0,15,18,0,0,0,0,0
180562,0,1334,8773,2070,268,3492,439,43,521,1048,2069
19402,0,29533,50278,39312,17453,34014,5668,4093,15030,8207,10215
127475,0,53966,100972,31932,22790,12605,987,1661,3495,651,395
19152,0,2951,38774,2159,6569,552,52,247,223,20,8
16671,0,229623,1031108,229823,304208,325997,16345,13447,92763,35037,63345
65270,0,48471,98021,28976,17570,21761,1548,2777,8057,1883,1723
277918,0,13254,12261,4231,8443,367,107,39,58,32,9
16679,0,338378,1346443,105592,424827,257104,7967,36430,143670,17337,29852
150179,0,965368,2008085,852449,1151557,974543,83749,99612,677132,89484,333215
183850,0,841,23605,325,2155,0,0,2,0,0,0
165914,0,4413,15944,1583,3089,3290,235,546,1958,454,628
142814,0,171407,228070,208949,63848,187860,21744,18906,78607,35076,63720
22008,0,136894,263277,99949,117037,88145,3776,6877,98384,6892,28829
149337,0,141664,370348,34869,163588,20930,1042,2031,7810,918,639
61192,0,9,105,0,4,16,0,0,3,0,1
142811,0,5094,25471,4025,7473,1105,119,46,250,34,9
142812,0,378779,310818,2032,834176,41439,9,575,203959,176,15741
6158,0,2627,31262,260,8792,126,0,0,60,0,0
12708,0,5372,26077,3725,8465,1018,200,171,312,48,32
30646,0,951974,1878603,2137090,522155,1956894,824607,277410,757362,842046,1045171
13602,0,4216,64035,1330,4306,696,15,17,133,12,6
4737,0,926339,1749566,1898052,801638,2393313,219620,239202,1218134,588476,1715163
6791,0,251446,1201458,200584,300336,282142,9930,14651,103865,21089,43679
118126,0,80595,273758,10796,143810,6592,68,1114,5462,69,88
118125,0,714932,1656070,748440,973538,528927,73172,77491,342589,85816,100803
2312,0,5560,33707,1394,9366,301,12,36,20,7,1
118121,0,314,3277,400,102,760,103,5,123,111,290
177313,0,17219,68214,568924,16725,389629,1221876,16035,103923,1112893,2821260
25665,0,538141,1067351,675924,626815,117542,31931,22218,96340,9783,8746
165710,0,143,892,28,25,9,1,8,3,0,0
177640,0,391535,766909,485642,412609,105808,28786,10466,41009,11393,9418
177315,0,60532,92166,17184,23044,9707,423,1463,3018,396,250
177314,0,315176,839600,3313810,332972,1933459,2476907,301612,1020977,1712031,2929670
165358,0,7445,23917,3675,2090,1370,132,62,237,26,46
140541,0,25654,52730,111305,12936,44039,34851,6105,19178,22754,21758
166485,0,24697,82380,10184,13709,3584,239,243,838,89,57
63739,0,9428,25863,6209,6242,8290,530,671,3781,920,2480
161853,0,623315,2128417,1143412,1076418,1596526,186201,174658,719307,330205,748397
25283,0,14834,41880,146368,9020,53014,70028,6405,15923,42550,37766
22717,0,735623,1439799,2935540,719281,2174734,880288,254838,1236819,1035754,1917381
184064,0,436745,1018699,3098730,421985,2055368,1781220,310085,1098598,1574647,2520622
13599,0,119488,267536,290294,54424,921560,288804,24784,296320,588478,2319053
25119,0,307,1938,257,95,18,5,1,5,1,0
16705,0,1026969,1846717,1287672,841096,2448635,135838,159162,1190238,459963,1651790
30662,0,50460,60741,21066,22176,5680,1011,872,1764,262,193
65474,0,50803,70142,21201,20195,7690,967,1214,3564,584,380
25110,0,138557,410342,53877,300111,42258,1470,5029,40089,1770,2968
30847,0,4510,16862,652,4052,220,4,60,111,2,0
166733,0,16334,39796,10899,5432,3939,605,652,917,351,160
7993,0,141190,222140,304662,119951,194865,78160,30444,117724,78260,79730
140897,0,1045,4434,598,392,491,23,26,49,20,9
141236,0,158322,177921,23732,79282,35502,501,3104,24134,1139,2815
7991,0,47,788,130,19,40,8,0,3,0,1
111532,0,38323,61604,32301,19293,24953,1345,4238,16655,2825,5233
63930,0,27814,45823,43211,14329,16484,9664,1166,5752,7094,7043
2269,0,861900,1608280,197039,990968,225200,6404,59836,335108,8849,34826
63936,0,931833,1867596,1617376,1059969,1766468,342530,235895,998089,582786,1054937
116787,0,88418,203691,204193,33049,86507,29594,13503,24057,22445,15536
19570,0,554247,1924361,632354,727046,710236,79095,111699,408636,129448,150256
7881,0,1438,9299,2310,806,496,307,70,153,98,142
63938,0,264700,272496,384248,104311,129123,37029,29714,51714,24454,15865
7882,0,45443,122386,59057,55563,15289,2720,3554,8120,1171,737
162254,0,1797,10330,2252,490,837,169,76,58,59,32
24996,0,222350,248052,291974,97631,950764,79241,32342,624471,291080,2080934
61581,0,64,438,80,45,20,4,1,4,2,1
20747,0,5901,40275,1860,10230,5801,168,100,819,296,448
124599,0,135161,217698,257418,48277,234564,57156,18827,61016,83475,102004
17035,0,939109,1950328,1380591,1232633,742926,183131,171702,559847,171030,161190
2444,0,3848,8153,800,435,337,22,20,43,8,4
139804,0,145612,213083,254184,55626,162312,55637,21423,61340,55820,54412
2448,0,6850,15065,5746,1793,1792,283,184,267,152,63
63847,0,1265,4939,445,741,107,20,5,15,0,10
7866,0,2706,8696,1969,688,704,145,70,149,78,55
184994,0,149236,216294,142263,56588,62630,8943,12778,19779,7798,4670
176066,0,6269,32377,9617,4111,1601,424,130,410,93,37
61585,0,705667,1388073,3140809,992814,1917610,706636,369948,1309507,823313,1489806
176068,0,4044,16484,356,6146,218,0,0,183,0,1
24888,0,188237,432814,106159,423234,61643,5009,17281,60061,4189,4679
140982,0,371,552,0,23,0,0,0,0,0,0
61584,0,22975,210536,18205,19775,25268,1511,863,6169,1628,2140
138608,0,30443,89773,424891,19795,539811,826278,20125,173641,923244,2729698
2044,0,98087,375682,36351,188016,46659,2292,3636,23459,2155,2990
11304,0,41565,210163,28079,44155,82183,1359,3628,35518,6599,22802
146659,0,101268,257205,62426,100079,107567,9780,6831,78029,18301,41608
138601,0,70708,77911,7653,24010,2781,113,908,1169,55,54
148414,0,312763,1228218,339446,428825,284594,39170,30879,95911,42625,50088
197855,0,543665,1200512,2656076,439079,2220643,1289188,330873,1309085,1018001,2422906
163036,0,289,4526,430,151,29,17,5,5,4,1
148410,0,1996,7066,577,316,114,23,14,22,12,5
185661,0,229570,270309,185272,79045,142223,20575,19040,47595,25885,23509
