PSD95,16.9738411196,-21.5688186838,-4.00031233736,-10.6233330477,-7.32799570871,-35.2972584451,12.9957735803,5.13370843222,4.94181341378,-4.68802464535,7.35727588573,-15.8613090899,15.2557259353,15.6072923304,13.928870802,-1.73825723441,-3.11871937836,-11.4323973415,-6.72428358473,8.01305432577
GAIP,-66.2596936126,-0.975890163103,11.1718303165,9.48254065575,48.2495631986,-4.25159760999,-12.8443763626,21.853177039,7.14880716743,-11.9605740318,-4.68645429059,7.25686493301,-6.44482738499,-12.8632376614,-0.857073678635,16.6436732925,15.4507359788,-0.697117328944,7.74899258966,-19.4724396101
PSD93,16.1555604878,-26.8472024223,-5.310866867,-8.99235743231,-3.28895346059,-26.5209663312,9.87802520885,8.26569388293,4.43162251907,-8.20217813339,10.5395642829,-7.05806677767,10.9540635003,14.9281985814,2.6163605277,-4.45253183308,-2.06241130772,-6.60846774755,-2.61353552853,9.68310555172
ARIP2,-23.5980007178,31.6954140044,32.6055588215,26.7690184923,-26.6723214311,22.1652166262,44.1027999249,-4.87117486177,8.33738632595,-7.17909233996,8.39335692945,-2.82959404513,0.89560766667,-4.10684965643,8.08962636911,6.65261840942,-15.2509979012,-6.53473402268,-10.0697757061,-14.5575942431
CALRETICULIN,18.1408870984,-39.1590443418,-34.5227619919,4.32660963417,-10.0515715748,-5.10148121171,-5.52632980983,-25.7075707753,-23.3495057325,1.3155163423,7.96442541551,28.167335354,-0.901181242615,-17.995555095,11.6874731699,11.6247751703,-9.43868774013,10.1305398191,9.224928806,12.4170969964
GLYT1,-43.6854712309,14.7870717007,-13.0303323258,-24.0499421086,-12.4632415424,-19.3391167968,16.6123144697,25.3720948022,3.08290671482,-0.484049557273,7.08272809616,9.62971432863,-0.822140789656,2.80384969216,6.11207192442,6.521517682,-3.31512145948,-2.24277432359,7.26431224106,-7.17205347757
SAPAP,-39.5942007982,15.1573026455,-13.9010264317,-29.9483502973,-14.4941916886,-12.8091684171,14.3950941643,26.5930224064,4.59516531538,-1.40741624302,6.97667408488,7.54075834748,4.38949346011,6.25154591852,4.88828973011,11.4574928946,-2.35244227979,3.43471342021,8.74753125155,-6.5750796501
COFILIN,25.8109481092,14.129350608,1.7158825505,-12.2563963016,12.2539668466,-17.3425568445,-10.2208697539,-17.9314517786,-7.47086212659,15.6310789249,-8.50909000875,10.0169641188,-10.1217182079,-8.77056781235,4.80514821004,-2.29822133532,8.74301925817,-12.7851482901,-3.91000973555,-0.480979201761
ANKYRIN,16.2328335229,-29.7964109371,-7.44109882195,-0.179327980268,11.7063303851,-18.0937469318,-3.72308656471,-4.60899500309,-17.8999764539,-6.06606005596,22.0510398457,13.2160705745,8.69327217484,-11.159030258,15.5804669576,-0.713088094815,10.8548718507,-7.09412706309,-3.69809533161,22.3679216679
RYR,19.4174207772,-38.0308153022,-26.9222271364,2.88888447914,9.894590514,15.3815061754,17.2686105397,-5.60778301889,-21.751984103,24.18089262,6.86653758998,-7.24865658044,2.81399195016,-8.34240775977,11.8791116071,-4.84058920037,-11.4591982022,-2.25942713229,-4.99771880676,-0.41967286237
