1004,19
1013,104
1034,28
1038,15
1043,4
1045,26
1050,9
1055,88
1056,49
1072,17
1073,10
1075,82
1076,19
1078,36
1082,12
1094,10
1095,29
1097,285
1099,6
1104,10
1108,11
1109,5
1111,66
1115,82
1117,2
1121,94
1148,502
1151,23
1154,6
1161,118
1164,47
1173,15
1177,163
1183,26
1194,502
1203,11
1209,19
1210,25
1213,19
1226,95
1228,6
1230,26
1234,24
1235,4
1239,16
1240,40
1244,70
1250,2
1254,8
1257,72
1260,7
1266,14
1274,115
1278,1
1279,82
1281,17
1283,6
1297,2
1300,19
1318,45
1324,1
1327,29
1331,8
1334,149
1351,28
1356,11
1359,109
1363,29
1372,19
1380,42
1382,26
1392,27
1393,46
1397,3
1408,1
1410,37
1411,7
1418,37
1439,32
1440,82
1444,11
1446,95
1447,105
1449,160
1456,1
1465,188
1468,13
1474,328
1478,14
1485,46
1487,248
1494,11
1495,4
1496,1
1500,11
1523,12
1533,1
1537,18
1539,45
1542,15
1545,82
1546,10
1559,111
1562,118
1567,17
1573,40
1577,20
1581,46
1585,2
1587,25
1590,82
1593,18
1594,40
1598,19
1602,190
1606,23
1608,20
1611,1
1613,19
1618,10
1619,502
1627,59
1632,89
1633,26
1634,26
1635,28
1641,4
1642,13
1650,51
1651,37
1655,21
1659,16
1661,49
1663,10
1677,6
1678,95
1682,68
1686,5
1690,63
1703,50
1704,50
1706,13
1712,26
1721,85
1722,16
1728,40
1743,37
1746,82
1754,8
1755,23
1762,18
1766,32
1772,13
1773,20
1780,23
1781,1
1783,16
1786,17
1789,26
1794,42
1820,10
1823,2
1824,18
1831,271
1832,13
1835,6
1837,82
1848,83
1849,26
1856,26
1860,35
1864,40
1866,18
1875,140
1877,11
1878,149
1884,111
1891,13
1902,190
1906,17
1910,103
1913,14
1919,24
1920,6
1923,23
1926,5
1939,149
1940,6
1943,6
1949,333
1951,147
1953,6
1956,82
1968,19
1969,7
1971,19
1974,13
1976,6
1979,3
1981,19
1982,174
1988,6
1989,2
1992,14
1995,82
1998,502
2002,502
2005,502
2006,143
2007,502
2008,6
2011,79
2014,502
2019,502
2022,502
2024,502
2025,149
2029,432
2032,502
2033,6
2034,5
2044,18
2049,19
2051,502
2052,31
2054,95
2058,2
2060,110
2061,32
2070,40
2080,14
2085,4
2086,25
2088,82
2100,6
2101,5
2111,20
2113,37
2124,28
2128,95
2130,27
2136,46
2138,13
2146,46
2150,31
2154,11
2159,165
2163,75
2169,12
2175,82
2176,9
2183,4
2184,40
2188,12
2189,23
