1004,1031
1013,1523
1034,624
1038,1018
1043,486
1045,1031
1050,1031
1055,1523
1056,1523
1072,1523
1073,1523
1075,697
1076,1018
1078,624
1082,1018
1094,1031
1095,277
1097,253
1099,697
1104,624
1108,1018
1109,1523
1111,1523
1115,624
1117,697
1121,697
1148,703
1151,624
1154,1031
1161,1523
1164,277
1173,1523
1177,253
1183,253
1194,703
1203,1031
1209,1031
1210,1031
1213,1031
1226,697
1228,697
1230,1031
1234,697
1235,1018
1239,1018
1240,1018
1244,624
1250,486
1254,697
1257,486
1260,1018
1266,1031
1274,253
1278,1031
1279,697
1281,1523
1283,1523
1297,1031
1300,1031
1318,277
1324,2
1327,1523
1331,1523
1334,1523
1351,1523
1356,1031
1359,624
1363,1018
1372,1031
1380,697
1382,1031
1392,1523
1393,253
1397,1031
1408,1031
1410,1018
1411,1523
1418,1031
1439,697
1440,697
1444,83
1446,697
1447,253
1449,253
1456,1018
1465,253
1468,1018
1474,253
1478,624
1485,277
1487,253
1494,1031
1495,1523
1496,1031
1500,1523
1523,1523
1533,1031
1537,697
1539,486
1542,1031
1545,486
1546,1018
1559,327
1562,1523
1567,1031
1573,1018
1577,1523
1581,277
1585,1031
1587,486
1590,486
1593,1031
1594,1018
1598,1031
1602,624
1606,1523
1608,1523
1611,3
1613,1031
1618,486
1619,703
1627,1523
1632,1523
1633,1523
1634,1018
1635,1523
1641,1031
1642,1031
1650,1523
1651,1523
1655,1018
1659,1018
1661,697
1663,1018
1677,1018
1678,697
1682,697
1686,1031
1690,1523
1703,1523
1704,1523
1706,1031
1712,697
1721,697
1722,1018
1728,1018
1743,1031
1746,697
1754,486
1755,1031
1762,1031
1766,1031
1772,1031
1773,1523
1780,1523
1781,1031
1783,1018
1786,1031
1789,697
1794,697
1820,1523
1823,1031
1824,486
1831,253
1832,1031
1835,1031
1837,697
1848,697
1849,1031
1856,697
1860,697
1864,1018
1866,1523
1875,1523
1877,1523
1878,1523
1884,327
1891,1523
1902,624
1906,486
1910,253
1913,1031
1919,1523
1920,1018
1923,1523
1926,1031
1939,1523
1940,1523
1943,1031
1949,703
1951,624
1953,1523
1956,486
1968,1031
1969,1031
1971,1031
1974,697
1976,697
1979,1031
1981,1031
1982,253
1988,1031
1989,624
1992,1031
1995,697
1998,703
2002,703
2005,703
2006,1523
2007,703
2008,1031
2011,697
2014,703
2019,703
2022,703
2024,703
2025,486
2029,703
2032,703
2033,1031
2034,1523
2044,624
2049,1031
2051,703
2052,697
2054,697
2058,1523
2060,1523
2061,1018
2070,1523
2080,1018
2085,624
2086,1031
2088,697
2100,697
2101,1031
2111,1031
2113,1018
2124,1523
2128,697
2130,1018
2136,277
2138,1018
2146,277
2150,277
2154,1031
2159,253
2163,1018
2169,1018
2175,697
2176,253
2183,697
2184,1018
2188,1031
2189,1031
2190,1031
2193,327
2201,1018
2204,697
2213,327
2214,1018
2215,1031
2220,1031
2222,624
2226,624
2230,624
2237,624
2239,1031
2246,624
2249,624
2251,624
2259,697
2265,1031
2267,624
2269,703
2270,697
2271,1031
2282,1018
2285,1031
2290,1031
2294,1523
2295,697
2302,1523
2304,697
2308,1523
2312,327
2322,327
2328,697
2337,1031
2342,1018
2345,1523
2346,1523
2351,486
2356,1523
2390,1018
2393,1031
2402,486
2403,624
2424,697
2435,1018
2436,1018
2437,697
2439,703
2444,1031
2447,697
2461,486
2464,1031
2467,486
2482,1031
2484,1018
2489,1018
2490,697
2497,1523
2498,1523
2504,1523
2507,697
2508,1018
2518,1018
2519,1031
2521,697
2536,1523
2537,1523
2538,327
2547,253
2553,1031
2554,1018
