180167,0,1763,202
61519,0,124,7
184526,0,55,1
19713,0,17781,3882
61513,0,14293,5289
23999,0,11674,10082
22461,0,34,2
180169,0,52548,19128
63763,0,2736,741
177303,0,379,14
13733,0,1049,16
165284,0,31532,5559
111537,0,49670,53584
111534,0,9228,2753
111532,0,3854,643
166555,0,26309,15663
4029,0,3721,436
177227,0,26571,17675
177225,0,19543,8654
177224,0,8,1
60914,0,4951,1223
19398,0,676,381
161071,0,23274,7557
5987,0,4,0
132644,0,6256,1292
177228,0,18376,35874
61179,0,184,19
24710,0,15943,32596
19159,0,55418,61828
160891,0,53357,14947
160892,0,631,7
160893,0,15,0
180562,0,371,272
19402,0,3285,1303
127475,0,4152,463
25062,0,1813,138
65270,0,3763,652
277918,0,949,81
150179,0,65788,42934
183850,0,139,0
165914,0,448,82
142814,0,13471,5623
22008,0,8598,2070
149337,0,3486,157
61192,0,28,8
142811,0,853,96
142812,0,20568,6979
6158,0,115,0
12708,0,2636,168
30646,0,48335,37623
13602,0,538,9
4737,0,57066,50139
6791,0,12672,2839
118126,0,4001,59
2312,0,238,3
118122,0,1270,170
118121,0,149,70
177313,0,22511,38503
25665,0,20356,1621
165710,0,80,1
147661,0,11342,2880
177315,0,8735,1168
64879,0,6631,1423
165358,0,271,15
140541,0,4930,1843
166482,0,47,0
166485,0,2784,711
63739,0,553,203
128581,0,30161,7728
161853,0,57108,64769
25283,0,5274,2653
185645,0,105,3
22717,0,68498,47924
184064,0,52585,53093
13599,0,16312,31436
25119,0,104,4
16705,0,50113,50866
30662,0,1653,103
25110,0,6664,455
30847,0,663,11
166733,0,781,47
7993,0,13141,5406
140897,0,300,21
141236,0,6195,860
7991,0,67,2
28998,0,1905,121
63930,0,1923,602
2269,0,39632,11886
63936,0,45083,47009
116787,0,7711,2020
19570,0,45127,11865
7881,0,531,59
63938,0,7523,874
7882,0,3327,207
162254,0,348,55
24996,0,18356,30465
20747,0,550,81
124599,0,18864,8671
17035,0,32465,7188
2444,0,288,15
139804,0,11388,4178
2448,0,1016,90
63029,0,301,3
7866,0,692,68
184994,0,983,27
186354,0,15,0
61585,0,52033,65033
176068,0,33,0
24888,0,11030,995
140982,0,26,0
61584,0,2489,610
138608,0,19275,36635
2044,0,6090,634
155225,0,496,55
146659,0,7940,3484
138601,0,2610,96
148414,0,13918,3126
4818,0,193,18
163036,0,91,5
148410,0,569,24
185661,0,4640,376
6379,0,466,45
26021,0,7034,962
64901,0,184,5
2811,0,437,53
28410,0,608,34
12123,0,12899,1683
124358,0,5116,516
12124,0,15439,1416
10631,0,24149,2920
7620,0,8543,1832
28785,0,92,0
10411,0,3235,799
162742,0,293,29
11944,0,6153,2039
133346,0,4248,402
63447,0,4183,1971
163927,0,12710,5161
121142,0,1380,389
160256,0,6604,1184
63543,0,60570,29177
160255,0,6997,341
63448,0,2620,44
135965,0,19185,6413
16926,0,54192,67163
162560,0,47900,30176
8947,0,1964,118
22260,0,25170,2913
164416,0,37,0
160376,0,4851,1394
16929,0,13151,1187
7260,0,1837,291
12234,0,31363,11045
63596,0,57,6
12236,0,1814,105
125531,0,16360,32118
139025,0,6609,293
7781,0,1491,79
14624,0,2215,219
62646,0,55635,37637
179186,0,7924,1579
14623,0,8649,3020
160488,0,24004,28533
152049,0,14604,2660
186106,0,21592,6452
10565,0,1070,80
125240,0,1666,225
175263,0,33471,6752
1995,0,13372,5247
10096,0,5400,707
187406,0,1043,187
30416,0,44502,39245
182116,0,4211,888
178327,0,26,1
182112,0,387,88
7921,0,105,6
65896,0,205,14
163610,0,933,69
8838,0,3302,189
138467,0,13498,3421
147303,0,40512,7113
147307,0,57,3
147305,0,89,67
8832,0,149,6
16671,0,13646,4028
164342,0,110,3
143689,0,3816,797
138861,0,292,55
29962,0,61,2
30637,0,5651,2123
29964,0,11,0
28564,0,13922,12912
62088,0,961,83
24232,0,56516,62716
24233,0,27659,6087
24234,0,924,101
12945,0,3302,224
174222,0,593,107
62245,0,59177,46486
183224,0,170,3
175087,0,94,14
157493,0,3219,219
175083,0,48831,43612
13189,0,5574,1834
137641,0,7819,1285
285536,0,4555,397
137642,0,17125,31569
